"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES","0001-3072","1467-6281","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business, Finance"
"ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION","1012-8255","2056-5127","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","Spanish","Business | Management"
"ACADEMIC PSYCHIATRY","1042-9670","1545-7230","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Education & Educational Research | Psychiatry"
"ACADEMY OF MANAGEMENT ANNALS","1941-6520","1941-6067","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Business | Management"
"ACADEMY OF MANAGEMENT DISCOVERIES","2168-1007","2168-1007","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACADEMY OF MANAGEMENT JOURNAL","0001-4273","1948-0989","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Business | Management"
"ACADEMY OF MANAGEMENT LEARNING & EDUCATION","1537-260X","1944-9585","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Education & Educational Research | Management"
"ACADEMY OF MANAGEMENT PERSPECTIVES","1558-9080","1943-4529","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Business | Management"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Business | Management"
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575","1879-2057","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Transportation | Social Sciences, Interdisciplinary | Ergonomics | Public, Environmental & Occupational Health"
"ACCOUNTING AND BUSINESS RESEARCH","0001-4788","2159-4260","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING AND FINANCE","0810-5391","1467-629X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business, Finance"
"ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","0951-3574","1758-4205","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business, Finance"
"ACCOUNTING FORUM","0155-9982","1467-6303","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING HORIZONS","0888-7993","1558-7975","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Business, Finance"
"ACCOUNTING ORGANIZATIONS AND SOCIETY","0361-3682","1873-6289","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Business, Finance"
"ACCOUNTING REVIEW","0001-4826","1558-7967","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Business, Finance"
"ACROSS LANGUAGES AND CULTURES","1585-1923","1588-2519","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Linguistics"
"ACTA BIOETHICA","1726-569X","1726-569X","UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA","DIAGONAL PARAGUAY #265, TORRE 15, PISO 8, SANTIAGO, CHILE, 00000","English, Portuguese, Spanish","Ethics | Social Sciences, Biomedical"
"ACTA HISTRIAE","1318-0185","2591-1767","HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP","GARIBALDIJEVA 18, KOPER, SLOVENIA, 6000","Slovenian, Croatian, English, Italian","History"
"ACTA LINGUISTICA ACADEMICA","2559-8201","2560-1016","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","","Linguistics"
"ACTA OECONOMICA","0001-6373","1588-2659","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Economics"
"ACTA PAULISTA DE ENFERMAGEM","0103-2100","1982-0194","UNIV FED SAO PAULO, DEPT ENFERMAGEN","RUA NAPOLEAO DE BARROS, 754 VILA CLEMENTINO, SAO PAULO, BRAZIL, CEP04024-002","Portuguese, English","Nursing"
"ACTA POLITICA","0001-6810","1741-1416","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Political Science"
"ACTA PSYCHIATRICA SCANDINAVICA","0001-690X","1600-0447","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychiatry"
"ACTA PSYCHOLOGICA","0001-6918","1873-6297","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Psychology, Experimental"
"ACTA SOCIOLOGICA","0001-6993","1502-3869","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
"ACTES DE LA RECHERCHE EN SCIENCES SOCIALES","0335-5322","1955-2564","EDITIONS SEUIL","27 RUE JACOB, PARIS, FRANCE, 75006","French","Social Sciences, Interdisciplinary"
"ACTION RESEARCH","1476-7503","1741-2617","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Social Sciences, Interdisciplinary | Management"
"ACTIVE LEARNING IN HIGHER EDUCATION","1469-7874","1741-2625","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"ADAPTIVE BEHAVIOR","1059-7123","1741-2633","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Psychology, Experimental | Social Sciences, Interdisciplinary"
"ADDICTION","0965-2140","1360-0443","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Substance Abuse | Psychiatry"
"ADDICTION RESEARCH & THEORY","1606-6359","1476-7392","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Social Issues | Substance Abuse"
"ADDICTION SCIENCE & CLINICAL PRACTICE","1940-0640","1940-0640","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Substance Abuse"
"ADDICTIVE BEHAVIORS","0306-4603","1873-6327","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Substance Abuse | Psychology, Clinical"
"ADICCIONES","0214-4840","","SOCIDROGALCOHOL","RAMBLA 15, 2A, 3A,, PALMA DE MALLORCA, SPAIN, BALEARES, 07003","Spanish","Substance Abuse"
"ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH","0894-587X","1573-3289","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Health Policy & Services | Public, Environmental & Occupational Health"
"ADMINISTRATION & SOCIETY","0095-3997","1552-3039","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public Administration"
"ADMINISTRATIVE LAW REVIEW","0001-8368","2326-9154","AMER BAR ASSOC, ADMINISTRATIVE LAW & REGULATORY PRACTICE SECTION","321 N CLARK ST, CHICAGO, USA, IL, 60610","English","Law"
"ADMINISTRATIVE SCIENCE QUARTERLY","0001-8392","1930-3815","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business | Management"
"ADOLESCENT RESEARCH REVIEW","2363-8346","2363-8354","SPRINGER INT PUBL AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Psychology, Development | Social Sciences, Interdisciplinary"
"ADULT EDUCATION QUARTERLY","0741-7136","1552-3047","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"ADVANCES IN COGNITIVE PSYCHOLOGY","1895-1171","1895-1171","UNIV ECONOMICS & HUMAN SCIENCES WARSAW","OKOPOWA 59, WARSAW, Poland, 01-043","English","Psychology, Experimental"
"ADVANCES IN HEALTH SCIENCES EDUCATION","1382-4996","1573-1677","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Education & Educational Research"
"ADVANCES IN LIFE COURSE RESEARCH","1040-2608","1040-2608","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Social Sciences, Interdisciplinary"
"ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE","2515-2459","2515-2467","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Psychology, Multidisciplinary"
"ADVANCES IN NEONATAL CARE","1536-0903","1536-0911","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Nursing"
"ADVANCES IN NURSING SCIENCE","0161-9268","1550-5014","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Nursing"
"ADVANCES IN SKIN & WOUND CARE","1527-7941","1538-8654","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Nursing"
"AERA OPEN","2332-8584","2332-8584","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"AFFILIA-FEMINIST INQUIRY IN SOCIAL WORK","0886-1099","1552-3020","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Women'S Studies | Social Work"
"AFRICA","0001-9720","1750-0184","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Anthropology | Area Studies"
"AFRICAN AFFAIRS","0001-9909","1468-2621","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Political Science | Area Studies"
"AFRICANA LINGUISTICA","2033-8732","2034-8436","PEETERS","BONDGENOTENLAAN 153, LEUVEN, BELGIUM, B-3000","English","Linguistics"
"AFRICAN AND ASIAN STUDIES","1569-2094","1569-2108","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Area Studies"
"AFRICAN ARCHAEOLOGICAL REVIEW","0263-0338","1572-9842","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Anthropology"
"AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT","1017-6772","1467-8268","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Development Studies"
"AFRICAN JOURNALISM STUDIES","2374-3670","2374-3689","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Communication"
"AFRICAN JOURNAL OF LIBRARY ARCHIVES AND INFORMATION SCIENCE","0795-4778","0795-4778","ARCHLIB & INFORMATION SERVICES LTD","PO BOX 20492, IBADAN, NIGERIA, 00000","English","Information Science & Library Science"
"AFRICAN JOURNAL OF REPRODUCTIVE HEALTH","1118-4841","2141-3606","WOMENS HEALTH & ACTION RESEARCH CENTRE","IGUE-IHEYA VILLAGE, BENIN-LAGOS EXPRESS RD, PO BOX 10231, UGBOWO, BENIN CITY, NIGERIA, EDO STATE, 00000","English","Public, Environmental & Occupational Health"
"AFRICAN STUDIES","0002-0184","1469-2872","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Area Studies"
"AFRICAN STUDIES REVIEW","0002-0206","1555-2462","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Area Studies"
"AFRICA SPECTRUM","0002-0397","1868-6869","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","German, English","Area Studies"
"AGEING & SOCIETY","0144-686X","1469-1779","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Gerontology"
"AGGRESSION AND VIOLENT BEHAVIOR","1359-1789","1873-6335","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychology, Multidisciplinary | Criminology & Penology"
"AGGRESSIVE BEHAVIOR","0096-140X","1098-2337","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Multidisciplinary"
"AGING & MENTAL HEALTH","1360-7863","1364-6915","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychiatry | Gerontology"
"AGING NEUROPSYCHOLOGY AND COGNITION","1382-5585","1744-4128","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Development | Psychology, Experimental"
"AGRIBUSINESS","0742-4477","1520-6297","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AGRICULTURAL AND FOOD ECONOMICS","2193-7532","2193-7532","SPRINGERNATURE","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Economics | Agricultural Economics & Policy"
"AGRICULTURAL ECONOMICS","0169-5150","1574-0862","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA","0139-570X","1805-9295","CZECH ACADEMY AGRICULTURAL SCIENCES","TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05","English","Economics"
"AGRICULTURAL HISTORY","0002-1482","1533-8290","AGRICULTURAL HISTORY SOCIETY","UALR, DEPT HISTORY, 2801 S UNIVERSITY AVE, LITTLE ROCK, USA, AR, 72324-1099","English","History | History & Philosophy Of Science"
"AGRICULTURE AND HUMAN VALUES","0889-048X","1572-8366","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","History & Philosophy Of Science | Sociology"
"AIBR-REVISTA DE ANTROPOLOGIA IBEROAMERICANA","1695-9752","1578-9705","ASOC ANTROPOLOGOS IBEROAMERICANOS  EN RED","CALLE FELIZ BOIX 9, MADRID, SPAIN, 28026","Spanish","Anthropology"
"AIDS AND BEHAVIOR","1090-7165","1573-3254","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Social Sciences, Biomedical | Public, Environmental & Occupational Health"
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","0954-0121","1360-0451","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary | Health Policy & Services | Social Sciences, Biomedical | Public, Environmental & Occupational Health"
"AIDS EDUCATION AND PREVENTION","0899-9546","1943-2755","GUILFORD PUBLICATIONS INC","370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020","English","Education & Educational Research | Public, Environmental & Occupational Health"
"AIDS PATIENT CARE AND STDS","1087-2914","1557-7449","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","English","Public, Environmental & Occupational Health"
"AJAR-AFRICAN JOURNAL OF AIDS RESEARCH","1608-5906","1727-9445","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Public, Environmental & Occupational Health"
"AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES","1944-7515","1944-7558","AMER ASSOC INTELLECTUAL DEVELOPMENTAL DISABILITIES","444 N CAPITOL ST, NW STE 846, WASHINGTON, USA, DC, 20001-1512","English","Rehabilitation | Education, Special"
"ALCOHOL AND ALCOHOLISM","0735-0414","1464-3502","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Substance Abuse"
"ALCOHOL RESEARCH-CURRENT REVIEWS","1535-7414","1930-0573","NATL INST ALCOHOL ABUSE  ALCOHOLISM","6000 EXECUTIVE BLVD, ROCKVILLE, USA, MD, 20892-7003","English","Substance Abuse"
"ALTERNATIVES","0304-3754","2163-3150","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","International Relations"
"AMERICAN ANNALS OF THE DEAF","0002-726X","1543-0375","GALLAUDET UNIV PRESS","800 FLORIDA AVE NE, WASHINGTON, USA, DC, 20002","English","Rehabilitation | Education, Special"
"AMERICAN ANTHROPOLOGIST","0002-7294","1548-1433","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN ANTIQUITY","0002-7316","2325-5064","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Anthropology"
"AMERICAN BANKRUPTCY LAW JOURNAL","0027-9048","","NATL CONF BANKRUPT J","235 SECRET COVE DR, LEXINGTON, USA, SC, 29072","English","Law"
"AMERICAN BEHAVIORAL SCIENTIST","0002-7642","1552-3381","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Clinical | Social Sciences, Interdisciplinary"
"AMERICAN BUSINESS LAW JOURNAL","0002-7766","1744-1714","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business | Law"
"AMERICAN CRIMINAL LAW REVIEW","0164-0364","0164-0364","AMER CRIMINAL LAW REVIEW","GEORGETOWN UNIV LAW CTR 600 NEW JERSEY AVE NW, WASHINGTON, USA, DC, 20001","English","Law"
"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","1945-7782","1945-7790","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY","1945-7731","1945-774X","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","1945-7707","1945-7715","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-MICROECONOMICS","1945-7669","1945-7685","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC REVIEW","0002-8282","1944-7981","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC REVIEW-INSIGHTS","2640-205X","2640-2068","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","","Economics"
"AMERICAN EDUCATIONAL RESEARCH JOURNAL","0002-8312","1935-1011","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"AMERICAN ETHNOLOGIST","0094-0496","1548-1425","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN HEALTH AND DRUG BENEFITS","1942-2962","1942-2970","ENGAGE HEALTHCARE COMMUNICATIONS INC","318 CLEVELAND AVE, HIGHLAND PARK, USA, NJ, 08904","English","Health Policy & Services"
"AMERICAN HISTORICAL REVIEW","0002-8762","1937-5239","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","History"
"AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH","1533-7731","1533-7731","UNIV PRESS COLORADO","PO BOX 849, NIWOT, USA, CO, 80544","English","Psychology, Clinical"
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","0002-9092","1467-8276","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AMERICAN JOURNAL OF BIOETHICS","1526-5161","1536-0075","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Ethics | Social Issues | Social Sciences, Biomedical"
"AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY","2692-7691","2692-7691","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","",""
"AMERICAN JOURNAL OF CLINICAL HYPNOSIS","0002-9157","2160-0562","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Clinical"
"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","0091-0562","1573-2770","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Multidisciplinary | Social Work | Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF COMPARATIVE LAW","0002-919X","2326-9197","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Law"
"AMERICAN JOURNAL OF CRIMINAL JUSTICE","1066-2316","1936-1351","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Criminology & Penology"
"AMERICAN JOURNAL OF CULTURAL SOCIOLOGY","2049-7113","2049-7121","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Sociology"
"AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","0095-2990","1097-9891","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Substance Abuse | Psychology, Clinical"
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","0002-9246","1536-7150","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology | Economics"
"AMERICAN JOURNAL OF EDUCATION","0195-6744","1549-6511","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Education & Educational Research"
"AMERICAN JOURNAL OF EVALUATION","1098-2140","1557-0878","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Social Sciences, Interdisciplinary"
"AMERICAN JOURNAL OF FAMILY THERAPY","0192-6187","1521-0383","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Clinical | Family Studies"
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","1064-7481","1545-7214","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Psychiatry | Gerontology"
"AMERICAN JOURNAL OF HEALTH BEHAVIOR","1945-7359","1945-7359","PNG PUBLICATIONS","2205-K OAK RIDGE RD, #115, OAK RIDGE, USA, NC, 27310","English","Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF HEALTH ECONOMICS","2332-3493","2332-3507","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Health Policy & Services | Economics"
"AMERICAN JOURNAL OF HEALTH PROMOTION","0890-1171","2168-6602","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF HUMAN BIOLOGY","1042-0533","1520-6300","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN JOURNAL OF INTERNATIONAL LAW","0002-9300","2161-7953","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","International Relations | Law"
"AMERICAN JOURNAL OF LAW & MEDICINE","0098-8588","2375-835X","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Law"
"AMERICAN JOURNAL OF MANAGED CARE","1088-0224","1936-2692","MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC","666 PLAINSBORO RD, STE 300, PLAINSBORO, USA, NJ, 08536","English","Health Policy & Services"
"AMERICAN JOURNAL OF MENS HEALTH","1557-9883","1557-9891","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF NURSING","0002-936X","1538-7488","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Nursing"
"AMERICAN JOURNAL OF OCCUPATIONAL THERAPY","0272-9490","1943-7676","AMER OCCUPATIONAL THERAPY ASSOC, INC","4720 MONTGOMERY LANE, BETHESDA, USA, MD, 20814-3425","English","Rehabilitation"
"AMERICAN JOURNAL OF ORTHOPSYCHIATRY","0002-9432","1939-0025","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242","English","Social Work"
"AMERICAN JOURNAL OF POLITICAL SCIENCE","0092-5853","1540-5907","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Political Science"
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","0749-3797","1873-2607","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Public, Environmental & Occupational Health"
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","AMER PSYCHIATRIC PUBLISHING, INC","800 MAINE AVE SW, SUITE 900, WASHINGTON, USA, DC, 20024","English","Psychiatry"
"AMERICAN JOURNAL OF PSYCHOLOGY","0002-9556","1939-8298","UNIV ILLINOIS PRESS","1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903","English","Psychology, Multidisciplinary"
